run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2,ligand,mch,14.9085799845,-10.7489097248,25.6574897093,-27.1527306917,-1.4810095033,17.8848580373,-3.4994136245,2.0184041211,6.9159175264,-36.5498197212,2.4811715031,-9.5814307595,12.0626022626,0.2077573472,0.7480793965,5.9600807827,0.0,0.0,11.52,11.72,yes,no
vm2,ligand,mha,22.6779531501,-8.1810772633,30.8590304134,24.3030158235,-53.9451444215,21.4618296448,-56.2688187797,2.3236743582,3.3961408579,19.9040365494,1.0028384162,-7.6028915279,8.6057299441,0.2139322091,1.234744886,1.9474637628,0.0,0.0,43.07,43.79,yes,no
vm2,ligand,mo3,-35.1733667044,-47.7394451618,12.5660784574,-1.8847242213,-62.8442618333,16.9906151354,-65.1885642319,2.3443023986,6.7588205201,-12.2224069969,3.5788622555,-8.8604993021,12.4393615577,0.2450505218,2.9849849269,3.5280632084,0.000721863,0.0,7.13,7.21,yes,no
vm2,ligand,mo4,-33.4186899512,-46.3512442796,12.9325543284,-1.0583148858,-62.2820960062,16.9906151354,-64.612341883,2.3302458768,6.7694749759,-11.4489105413,3.6211206796,-8.7414182617,12.3625389413,0.2502824528,2.9899666675,3.5284335602,0.0007922954,0.0,6.64,6.72,yes,no
vm2,ligand,mp3,-39.773268776,-52.5737167542,12.8004479782,-5.7696322425,-62.9004569725,16.0963722336,-65.1573298148,2.2568728423,5.8814792927,-14.627539327,2.9764277918,-7.6520287632,10.6284565549,0.1642670197,2.1837473839,3.5318043585,0.0016605306,0.0,10.11,10.39,yes,no
vm2,ligand,mp4,-39.0255114097,-52.2372608475,13.2117494378,-5.57487954,-62.7585189048,16.0963722336,-64.9566988376,2.1981799328,5.8821369615,-14.4721812332,3.0151647317,-7.5848610176,10.6000257493,0.1652980997,2.1830009579,3.532137715,0.0017001889,0.0,4.16,4.28,yes,no
vm2,ligand,oam,56.4446436835,21.8108614869,34.6337821966,49.1738254977,-51.5072727775,24.1445583504,-54.0308103644,2.5235375869,3.3617398392,44.9338784471,0.8782072113,-8.23784347,9.1160506814,0.2093340951,0.7992743685,2.3531313756,0.0,0.0,56.61,57.2,yes,no
vm2,ligand,pb3,-21.8523146545,-41.2819651632,19.4296505087,1.8950739808,-61.9561249846,18.7791009392,-64.3632855299,2.4071605453,6.5840600311,-7.9408299017,3.2518438514,-11.0174174063,14.2692612577,0.3024501975,2.6531862877,3.6256950538,0.0027284921,0.0,16.16,16.51,yes,no
vm2,ligand,pb4,-17.3325923071,-35.6313652483,18.2987729412,5.6758451271,-60.0867148425,18.7791009392,-62.5564953151,2.4697804727,6.0565272027,-3.4241161216,3.043434046,-8.8653154557,11.9087495017,0.224181751,2.2871459754,3.5442339013,0.000965575,0.0,8.03,8.17,yes,no
vm2,ligand,pha,-41.0817820379,-50.3952490955,9.3134670576,0.557854065,-64.3661516473,13.413643528,-66.3740691292,2.0079174819,5.8340623742,-8.1449446582,2.868736349,-6.273056876,9.141793225,0.1579968009,2.1429902126,3.5314813684,0.0015939923,0.0,3.62,3.7,yes,no
vm2,ligand,pnt,-35.9604726948,-45.1348787364,9.1744060417,6.8685830315,-64.5230092454,12.5194006261,-66.4454961682,1.9224869229,6.4439713351,-0.0790438146,0.503655511,-4.5012123355,5.0048678465,0.0863136472,2.3524757496,4.0046590411,0.0005228972,0.0,4.89,5.22,yes,no
vm2,ligand,rim,70.89649319,16.6369257051,54.2595674849,37.6182442856,-50.4905379413,29.5100157615,-52.9497465366,2.4592085953,18.9165832971,10.5601851577,8.1414758309,-23.3319741607,31.4734499916,1.3482335111,3.6304585392,13.9378912468,0.0,0.0,20.13,20.39,yes,no
